,ID,pf_log,var:boiling_point,var:num_p_unfilled,var:num_s_unfilled,var:num_s_valence,max:num_unfilled,min:electron_affinity,min:lattice_constant
271,mp-830,-20.27530103,1688180.49,1.0,0.0,0.0,5,-1.4,4.039
272,mp-749,-1.840300497,986644.89,2.25,0.0,0.0,8,-1.4,4.039
273,mp-708,-9.763345248,2036329.0,2.25,0.0,0.0,9,0.47,3.75
274,mp-684580,1.868176086,1027689.063,0.25,0.25,0.25,1,1.302,4.09
275,mp-632319,0.282612761,216839.2356,0.0,0.0,0.0,1,0.471626,3.75
276,mp-614603,2.656849456,61033.7025,0.25,0.25,0.25,1,0.471626,6.05
277,mp-573697,3.792382791,127092.25,0.25,0.25,0.25,1,0.471626,6.05
278,mp-571222,5.592728066,96007.0225,0.25,0.25,0.25,1,0.471626,6.05
279,mp-571102,-4.95042044,404814.0625,4.0,0.0,0.0,5,0.377,3.46
280,mp-570276,-2.55057301,3010225.0,0.0,0.0,0.0,8,0.426,2.66
281,mp-569639,-5.059170905,556068.49,4.0,0.0,0.0,5,0.377,3.46
282,mp-568560,-5.808542703,488670.9025,4.0,0.0,0.0,5,0.377,3.46
283,mp-505366,3.681787801,1888013.403,0.25,0.25,0.25,1,2.30863,4.08
284,mp-422,-3.676700939,1594128.458,1.0,0.0,0.0,2,-2.4,2.29
285,mp-343,0.852785341,3436574.44,2.25,0.0,0.0,11,-1.4,3.67
286,mp-2857,-5.389906969,2290076.89,2.25,0.0,0.0,9,-1.4,3.31
287,mp-2667,1.424287888,1132521.64,0.0,0.0,0.0,1,0.471626,4.08
288,mp-2612,7.212080845,846400.0,1.0,0.0,0.0,4,1.232712,4.45
289,mp-2599,2.319937753,2662771.24,2.25,0.0,0.0,10,-1.4,3.66
290,mp-256,0.937878156,3335371.69,2.25,0.0,0.0,9,-1.4,3.75
291,mp-2534,4.540874311,810000.0,1.0,0.0,0.0,5,0.43,4.13
292,mp-252,4.156111529,980100.0,1.0,0.0,0.0,2,-2.4,2.29
293,mp-2490,4.908169377,1126782.25,1.0,0.0,0.0,5,0.43,4.51
294,mp-24721,2.330559278,221238.5296,0.0,0.0,0.0,1,0.48592,3.75
295,mp-23703,6.073914557,301329.6342,0.0,0.0,0.0,1,0.618049,3.49
296,mp-23303,4.318719436,98941.7025,0.25,0.25,0.25,1,0.48592,5.59
297,mp-23302,5.141821228,63378.0625,0.25,0.25,0.25,1,0.48592,5.59
298,mp-23299,3.867094416,130465.44,0.25,0.25,0.25,1,0.48592,5.59
299,mp-23295,5.079115901,130465.44,0.25,0.25,0.25,1,0.48592,5.59
300,mp-23231,4.71649024,1158959.903,0.25,0.25,0.25,1,1.302,4.09
301,mp-23197,-2.74291798,404814.0625,4.0,0.0,0.0,5,0.377,3.46
302,mp-23167,-2.690244792,556068.49,4.0,0.0,0.0,5,0.377,3.46
303,mp-22925,2.339267959,1027689.063,0.25,0.25,0.25,1,1.302,4.09
304,mp-22922,4.828714316,1261578.24,0.25,0.25,0.25,1,1.302,4.09
305,mp-22906,5.41491477,96007.0225,0.25,0.25,0.25,1,0.471626,6.05
306,mp-22903,5.017784871,63378.0625,0.25,0.25,0.25,1,0.48592,5.59
307,mp-22899,4.585781113,109114.6056,0.25,0.25,0.25,1,0.618049,3.49
308,mp-22875,-2.477461025,488670.9025,4.0,0.0,0.0,5,0.377,3.46
309,mp-22867,3.363752885,98941.7025,0.25,0.25,0.25,1,0.48592,5.59
310,mp-22865,5.044117195,127092.25,0.25,0.25,0.25,1,0.471626,6.05
311,mp-2175,-3.555861924,676498.025,4.0,0.0,0.0,5,0.377,3.46
312,mp-2114,-6.848522614,3121582.24,2.25,0.0,0.0,9,-1.4,3.65
313,mp-20411,4.360987498,1294588.84,1.0,0.0,0.0,5,-1.4,4.039
314,mp-20351,4.94861555,810000.0,1.0,0.0,0.0,5,0.3,4.59
315,mp-20305,3.959869414,545382.25,1.0,0.0,0.0,5,0.3,4.13
